review_id,rating,title,review_text,verified_purchase,review_date,variant
R001,5,Consistent grind,The grind is even for my pour-over and the cup tastes more consistent than with my old grinder. Review sample 1 adds no new product specification.,Y,2026-05-03,G2 Black
R002,5,Consistent grind,The grind is even for my pour-over and the cup tastes more consistent than with my old grinder. Review sample 2 adds no new product specification.,Y,2026-05-05,G2 Silver
R003,5,Consistent grind,The grind is even for my pour-over and the cup tastes more consistent than with my old grinder. Review sample 3 adds no new product specification.,Y,2026-05-07,G2 Travel Kit
R004,5,Consistent grind,The grind is even for my pour-over and the cup tastes more consistent than with my old grinder. Review sample 4 adds no new product specification.,Y,2026-05-09,G2 Black
R005,5,Consistent grind,The grind is even for my pour-over and the cup tastes more consistent than with my old grinder. Review sample 5 adds no new product specification.,Y,2026-05-11,G2 Silver
R006,5,Consistent grind,The grind is even for my pour-over and the cup tastes more consistent than with my old grinder. Review sample 6 adds no new product specification.,Y,2026-05-13,G2 Travel Kit
R007,5,Consistent grind,The grind is even for my pour-over and the cup tastes more consistent than with my old grinder. Review sample 7 adds no new product specification.,N,2026-05-15,G2 Black
R008,5,Consistent grind,The grind is even for my pour-over and the cup tastes more consistent than with my old grinder. Review sample 8 adds no new product specification.,Y,2026-05-17,G2 Silver
R009,5,Consistent grind,The grind is even for my pour-over and the cup tastes more consistent than with my old grinder. Review sample 9 adds no new product specification.,Y,2026-05-19,G2 Travel Kit
R010,5,Consistent grind,The grind is even for my pour-over and the cup tastes more consistent than with my old grinder. Review sample 10 adds no new product specification.,Y,2026-05-21,G2 Black
R011,5,Consistent grind,The grind is even for my pour-over and the cup tastes more consistent than with my old grinder. Review sample 11 adds no new product specification.,Y,2026-05-23,G2 Silver
R012,5,Consistent grind,The grind is even for my pour-over and the cup tastes more consistent than with my old grinder. Review sample 12 adds no new product specification.,Y,2026-05-25,G2 Travel Kit
R013,5,Great for travel,Compact enough for my work bag and camping kit; I like that it needs no battery. Review sample 1 adds no new product specification.,Y,2026-05-27,G2 Black
R014,5,Great for travel,Compact enough for my work bag and camping kit; I like that it needs no battery. Review sample 2 adds no new product specification.,N,2026-05-29,G2 Silver
