review_id,rating,review_text,variant
AP001,5,Fits my office drawer and works well for one cup.,G2 Black
AP002,5,I take it camping because there is no battery to charge.,G2 Silver
AP003,4,The folding handle and pouch make packing straightforward.,G2 Black
AP004,5,Grind felt consistent for my pour-over routine.,G2 Silver
AP005,3,Thirty grams is not enough when friends visit.,G2 Black
AP006,2,I could not remember the adjustment setting.,G2 Silver
AP007,4,The loose grounds brush away quickly.,G2 Black
AP008,2,Fine grounds remain around the adjustment gap.,G2 Silver
AP009,5,The black version feels solid in my hand.,G2 Black
AP010,4,Silver looks good on my desk.,G2 Silver
AP011,5,Fits my office drawer and works well for one cup.,G2 Black
AP012,5,I take it camping because there is no battery to charge.,G2 Silver
AP013,4,The folding handle and pouch make packing straightforward.,G2 Black
AP014,5,Grind felt consistent for my pour-over routine.,G2 Silver
AP015,3,Thirty grams is not enough when friends visit.,G2 Black
AP016,2,I could not remember the adjustment setting.,G2 Silver
AP017,4,The loose grounds brush away quickly.,G2 Black
AP018,2,Fine grounds remain around the adjustment gap.,G2 Silver
AP019,5,The black version feels solid in my hand.,G2 Black
AP020,4,Silver looks good on my desk.,G2 Silver
